순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
161,행정안전부_자원환경_지하수정화업체 조회서비스,자원환경_지하수정화업체 데이터 이력조회,http://apis.data.go.kr/1741000/groundwater_remediation/history,
162,행정안전부_자원환경_가축분뇨수집운반업 조회서비스,자원환경_가축분뇨수집운반업 데이터 이력조회,http://apis.data.go.kr/1741000/manure_collection_transport/history,
163,행정안전부_자원환경_가축분뇨배출시설관리업(사업장) 조회서비스,자원환경_가축분뇨배출시설관리업(사업장) 데이터 이력조회,http://apis.data.go.kr/1741000/manure_facility_management/history,
164,행정안전부_자원환경_개인하수처리시설관리업(사업장) 조회서비스,자원환경_개인하수처리시설관리업(사업장) 데이터 이력조회,http://apis.data.go.kr/1741000/small_sewage_facility_management/history,
165,행정안전부_자원환경_건물위생관리업 조회서비스,자원환경_건물위생관리업 데이터 이력조회,http://apis.data.go.kr/1741000/building_sanitation/history,
166,행정안전부_자원환경_건설폐기물처리업 조회서비스,자원환경_건설폐기물처리업 데이터 이력조회,http://apis.data.go.kr/1741000/construction_waste_disposal/history,
167,행정안전부_자원환경_급수공사대행업 조회서비스,자원환경_급수공사대행업 데이터 이력조회,http://apis.data.go.kr/1741000/water_supply_agents/history,
168,행정안전부_자원환경_단독정화조 및 오수처리시설설계시공업 조회서비스,자원환경_단독정화조/오수처리시설설계시공업 데이터 이력조회,http://apis.data.go.kr/1741000/septic_sewage_design_build/history,
169,행정안전부_자원환경_대기오염물질배출시설설치사업장 조회서비스,자원환경_대기오염물질배출시설설치사업장 데이터 이력조회,http://apis.data.go.kr/1741000/air_pollution_facility_installation/history,
170,행정안전부_자원환경_배출가스전문정비사업자(확인검사대행자) 조회서비스,자원환경_배출가스전문정비사업자(확인검사대행자) 데이터 이력조회,http://apis.data.go.kr/1741000/emission_inspection_agencies/history,
171,행정안전부_자원환경_분뇨수집운반업 조회서비스,자원환경_분뇨수집운반업 데이터 이력조회,http://apis.data.go.kr/1741000/night_soil_collection_transport/history,
172,행정안전부_자원환경_소독업 조회서비스,자원환경_소독업 데이터 이력조회,http://apis.data.go.kr/1741000/disinfection_companies/history,
173,행정안전부_자원환경_수질오염원설치시설(기타) 조회서비스,자원환경_수질오염원설치시설(기타) 데이터 이력조회,http://apis.data.go.kr/1741000/water_pollution_source_other/history,
174,행정안전부_자원환경_쓰레기종량제봉투판매업 조회서비스,자원환경_쓰레기종량제봉투판매업 데이터 이력조회,http://apis.data.go.kr/1741000/pay_as_you_throw_bag_retailers/history,
175,행정안전부_자원환경_저수조청소업 조회서비스,자원환경_저수조청소업 데이터 이력조회,http://apis.data.go.kr/1741000/water_tank_cleaning/history,
176,행정안전부_자원환경_환경관리대행기관 조회서비스,자원환경_환경관리대행기관 데이터 이력조회,http://apis.data.go.kr/1741000/environment_management_agencies/history,
177,행정안전부_자원환경_환경전문공사업 조회서비스,자원환경_환경전문공사업 데이터 이력조회,http://apis.data.go.kr/1741000/environment_contractors/history,
178,행정안전부_자원환경_환경측정대행업 조회서비스,자원환경_환경측정대행업 데이터 이력조회,http://apis.data.go.kr/1741000/environment_measurement_agencies/history,
179,행정안전부_자원환경_환경컨설팅회사 조회서비스,자원환경_환경컨설팅회사 데이터 이력조회,http://apis.data.go.kr/1741000/environment_consulting_companies/history,
180,행정안전부_기타_옥외광고업 조회서비스,기타_옥외광고업 데이터 이력조회,http://apis.data.go.kr/1741000/outdoor_advertising_companies/history,
181,행정안전부_기타_인쇄사 조회서비스,기타_인쇄사 데이터 이력조회,http://apis.data.go.kr/1741000/printing_shops/history,
182,행정안전부_기타_출판사 조회서비스,기타_출판사 데이터 이력조회,http://apis.data.go.kr/1741000/publishers/history,
183,행정안전부_기타_담배도매업 조회서비스,기타_담배도매업 데이터 이력조회,http://apis.data.go.kr/1741000/tobacco_wholesalers/history,
184,행정안전부_기타_담배소매업 조회서비스,기타_담배소매업 데이터 이력조회,http://apis.data.go.kr/1741000/tobacco_retailers/history,
185,행정안전부_기타_담배수입판매업체 조회서비스,기타_담배수입판매업체 데이터 이력조회,http://apis.data.go.kr/1741000/tobacco_import_retailers/history,
186,행정안전부_기타_국제물류주선업 조회서비스,기타_국제물류주선업 데이터 이력조회,http://apis.data.go.kr/1741000/international_logistics_forwarders/history,
