순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
113,행정안전부_문화_음반및음악영상물배급업 조회서비스,문화_음반및음악영상물배급업 데이터 조회,http://apis.data.go.kr/1741000/music_video_distributors/info,
114,행정안전부_문화_음반및음악영상물제작업 조회서비스,문화_음반및음악영상물제작업 데이터 조회,http://apis.data.go.kr/1741000/music_video_producers/info,
115,행정안전부_문화_음반물배급업 조회서비스,문화_음반물배급업 데이터 조회,http://apis.data.go.kr/1741000/record_distributors/info,
116,행정안전부_문화_음반물제작업 조회서비스,문화_음반물제작업 데이터 조회,http://apis.data.go.kr/1741000/record_producers/info,
117,행정안전부_생활_미용업 조회서비스,생활_미용업 데이터 조회,http://apis.data.go.kr/1741000/beauty_salons/info,
118,행정안전부_생활_이용업 조회서비스,생활_이용업 데이터 조회,http://apis.data.go.kr/1741000/barber_shops/info,
119,행정안전부_생활_세탁업 조회서비스,생활_세탁업 데이터 조회,http://apis.data.go.kr/1741000/laundries/info,
120,행정안전부_생활_의료기관세탁물처리업 조회서비스,생활_의료기관세탁물처리업 데이터 조회,http://apis.data.go.kr/1741000/medical_laundry/info,
121,행정안전부_생활_다단계판매업체 조회서비스,생활_다단계판매업체 데이터 조회,http://apis.data.go.kr/1741000/multilevel_marketing/info,
122,행정안전부_생활_대규모점포 조회서비스,생활_대규모점포 데이터 조회,http://apis.data.go.kr/1741000/large_scale_retail_stores/info,
123,행정안전부_생활_방문판매업 조회서비스,생활_방문판매업 데이터 조회,http://apis.data.go.kr/1741000/door_to_door_sales/info,
124,행정안전부_생활_전화권유판매업 조회서비스,생활_전화권유판매업 데이터 조회,http://apis.data.go.kr/1741000/telemarketing_sales/info,
125,행정안전부_생활_통신판매업 조회서비스,생활_통신판매업 데이터 조회,http://apis.data.go.kr/1741000/ecommerce_businesses/info,
126,행정안전부_생활_후원방문판매업체 조회서비스,생활_후원방문판매업체 데이터 조회,http://apis.data.go.kr/1741000/sponsored_door_to_door_sales/info,
127,행정안전부_생활_골프연습장업 조회서비스,생활_골프연습장업 데이터 조회,http://apis.data.go.kr/1741000/golf_practice_ranges/info,
128,행정안전부_생활_골프장 조회서비스,생활_골프장 데이터 조회,http://apis.data.go.kr/1741000/golf_courses/info,
129,행정안전부_생활_당구장업 조회서비스,생활_당구장업 데이터 조회,http://apis.data.go.kr/1741000/billiard_halls/info,
130,행정안전부_생활_등록체육시설업 조회서비스,생활_등록체육시설업 데이터 조회,http://apis.data.go.kr/1741000/registered_sports_facilities/info,
131,행정안전부_생활_무도장업 조회서비스,생활_무도장업 데이터 조회,http://apis.data.go.kr/1741000/dance_halls/info,
132,행정안전부_생활_무도학원업 조회서비스,생활_무도학원업 데이터 조회,http://apis.data.go.kr/1741000/dance_academies/info,
133,행정안전부_생활_빙상장업 조회서비스,생활_빙상장업 데이터 조회,http://apis.data.go.kr/1741000/ice_rinks/info,
134,행정안전부_생활_수영장업 조회서비스,생활_수영장업 데이터 조회,http://apis.data.go.kr/1741000/swimming_pools/info,
135,행정안전부_생활_스키장 조회서비스,생활_스키장 데이터 조회,http://apis.data.go.kr/1741000/ski_resorts/info,
136,행정안전부_생활_승마장업 조회서비스,생활_승마장업 데이터 조회,http://apis.data.go.kr/1741000/horse_riding/info,
137,행정안전부_생활_썰매장업 조회서비스,생활_썰매장업 데이터 조회,http://apis.data.go.kr/1741000/sledding/info,
138,행정안전부_생활_요트장업 조회서비스,생활_요트장업 데이터 조회,http://apis.data.go.kr/1741000/yacht_marinas/info,
139,행정안전부_생활_종합체육시설업 조회서비스,생활_종합체육시설업 데이터 조회,http://apis.data.go.kr/1741000/comprehensive_sports_facilities/info,
140,행정안전부_생활_체력단련장업 조회서비스,생활_체력단련장업 데이터 조회,http://apis.data.go.kr/1741000/fitness_centers/info,
